crime_type,Category,day_Sun,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,community_area_1,community_area_2,community_area_3,community_area_4,community_area_5,community_area_6,community_area_7,community_area_8,community_area_9,community_area_10,community_area_11,community_area_12,community_area_13,community_area_14,community_area_15,community_area_16,community_area_17,community_area_18,community_area_19,community_area_20,community_area_21,community_area_22,community_area_23,community_area_24,community_area_25,community_area_26,community_area_27,community_area_28,community_area_29,community_area_30,community_area_31,community_area_32,community_area_33,community_area_34,community_area_35,community_area_36,community_area_37,community_area_38,community_area_39,community_area_40,community_area_41,community_area_42,community_area_43,community_area_44,community_area_45,community_area_46,community_area_47,community_area_48,community_area_49,community_area_50,community_area_51,community_area_52,community_area_53,community_area_54,community_area_55,community_area_56,community_area_57,community_area_58,community_area_59,community_area_60,community_area_61,community_area_62,community_area_63,community_area_64,community_area_65,community_area_66,community_area_67,community_area_68,community_area_69,community_area_70,community_area_71,community_area_72,community_area_73,community_area_74,community_area_75,community_area_76,community_area_77
BATTERY: AGG: HANDS/FIST/FEET SERIOUS INJURY,P1V,0.202614379,0.150326797,0.065359477,0.137254902,0.104575163,0.156862745,0.183006536,0.058823529,0.091503268,0.111111111,0.039215686,0.039215686,0.019607843,0.019607843,0.006535948,0,0.006535948,0.019607843,0.026143791,0.026143791,0.039215686,0.039215686,0.039215686,0.039215686,0.071895425,0.052287582,0.045751634,0.045751634,0.052287582,0.065359477,0.045751634,0.006535948,0.013071895,0.019607843,0.013071895,0,0.032679739,0.019607843,0.111111111,0,0,0,0,0,0,0,0.013071895,0,0,0,0.013071895,0.006535948,0.026143791,0.019607843,0.026143791,0.045751634,0.019607843,0.026143791,0.052287582,0.039215686,0.032679739,0.013071895,0.013071895,0.006535948,0.006535948,0.013071895,0,0,0.019607843,0,0.013071895,0.006535948,0.013071895,0.019607843,0.026143791,0.006535948,0.019607843,0,0.006535948,0.019607843,0,0.006535948,0.006535948,0,0.019607843,0.006535948,0,0,0,0.026143791,0,0.013071895,0.006535948,0.006535948,0,0.006535948,0.026143791,0.032679739,0.013071895,0.032679739,0,0.039215686,0,0.013071895,0,0.006535948,0,0
BATTERY: AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,P1V,0.195121951,0.117886179,0.130081301,0.138211382,0.097560976,0.158536585,0.162601626,0.101626016,0.06097561,0.069105691,0.06504065,0.032520325,0.020325203,0,0.020325203,0.024390244,0.008130081,0.052845528,0.024390244,0.020325203,0.040650407,0.028455285,0.036585366,0.040650407,0.056910569,0.024390244,0.032520325,0.052845528,0.048780488,0.081300813,0.056910569,0.008130081,0.008130081,0.012195122,0,0,0.012195122,0,0.024390244,0,0.004065041,0,0.004065041,0,0.004065041,0,0.004065041,0.008130081,0.004065041,0.012195122,0.004065041,0.008130081,0.008130081,0.008130081,0.004065041,0.036585366,0.016260163,0.008130081,0.020325203,0.069105691,0.036585366,0.004065041,0.008130081,0.004065041,0.008130081,0.008130081,0,0.008130081,0.016260163,0.012195122,0.024390244,0,0.044715447,0.081300813,0.020325203,0.008130081,0.089430894,0,0.016260163,0.016260163,0.004065041,0.016260163,0.008130081,0.020325203,0.004065041,0,0.012195122,0,0.016260163,0.004065041,0.012195122,0.048780488,0,0.020325203,0.004065041,0.004065041,0.016260163,0.024390244,0.020325203,0.016260163,0.004065041,0.024390244,0,0.004065041,0.008130081,0.008130081,0,0.004065041
BATTERY: AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,P1V,0.203125,0.134943182,0.120738636,0.115056818,0.133522727,0.120738636,0.171875,0.065340909,0.048295455,0.052556818,0.044034091,0.046875,0.034090909,0.029829545,0.032670455,0.019886364,0.03125,0.022727273,0.041193182,0.036931818,0.03125,0.039772727,0.03125,0.034090909,0.044034091,0.042613636,0.026988636,0.039772727,0.069602273,0.069602273,0.065340909,0.012784091,0.005681818,0.008522727,0,0.002840909,0.004261364,0.002840909,0.007102273,0,0,0,0,0.001420455,0.001420455,0.005681818,0.011363636,0.001420455,0.001420455,0.012784091,0.002840909,0.001420455,0.007102273,0.032670455,0.007102273,0.100852273,0.039772727,0.022727273,0.017045455,0.058238636,0.024147727,0.005681818,0.002840909,0.001420455,0.005681818,0.007102273,0.004261364,0,0.012784091,0.008522727,0.014204545,0.002840909,0.022727273,0.059659091,0.052556818,0.005681818,0.028409091,0.002840909,0.004261364,0.03125,0.001420455,0.001420455,0,0.028409091,0.012784091,0.001420455,0.001420455,0.001420455,0.007102273,0.001420455,0.001420455,0.024147727,0,0.008522727,0.001420455,0.004261364,0.038352273,0.048295455,0.042613636,0.041193182,0.008522727,0.035511364,0.001420455,0.018465909,0,0,0,0.002840909
BATTERY: AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,P1V,0.176811594,0.152657005,0.125603865,0.129468599,0.127536232,0.11884058,0.169082126,0.045410628,0.039613527,0.034782609,0.030917874,0.029951691,0.02705314,0.019323671,0.033816425,0.043478261,0.037681159,0.028985507,0.053140097,0.047342995,0.037681159,0.044444444,0.039613527,0.043478261,0.045410628,0.046376812,0.053140097,0.051207729,0.053140097,0.06763285,0.046376812,0.006763285,0.003864734,0.008695652,0.000966184,0.001932367,0.003864734,0,0.002898551,0,0.000966184,0.000966184,0,0.000966184,0.002898551,0.005797101,0.009661836,0.007729469,0.001932367,0.01352657,0,0.003864734,0.005797101,0.032850242,0.002898551,0.08115942,0.025120773,0.011594203,0.019323671,0.062801932,0.022222222,0.006763285,0.002898551,0.004830918,0.002898551,0.011594203,0.001932367,0.004830918,0.009661836,0.003864734,0.022222222,0.001932367,0.028985507,0.061835749,0.035748792,0.007729469,0.026086957,0.000966184,0.005797101,0.042512077,0.002898551,0.008695652,0.004830918,0.018357488,0.006763285,0.000966184,0.001932367,0.003864734,0.012560386,0.002898551,0.002898551,0.033816425,0.000966184,0.012560386,0.001932367,0.007729469,0.035748792,0.031884058,0.04057971,0.058937198,0.012560386,0.048309179,0.000966184,0.008695652,0.002898551,0.008695652,0,0.002898551
BATTERY: AGGRAVATED OF A SENIOR CITIZEN,P1V,0.157232704,0.13836478,0.13836478,0.119496855,0.163522013,0.106918239,0.176100629,0.044025157,0.031446541,0.006289308,0.006289308,0.018867925,0.012578616,0.044025157,0.018867925,0.018867925,0.037735849,0.075471698,0.062893082,0.050314465,0.025157233,0.044025157,0.037735849,0.056603774,0.094339623,0.100628931,0.025157233,0.062893082,0.031446541,0.031446541,0.062893082,0.018867925,0.031446541,0.031446541,0.012578616,0,0.018867925,0.012578616,0.037735849,0.006289308,0.006289308,0.006289308,0,0.006289308,0.006289308,0.018867925,0.006289308,0.012578616,0,0.025157233,0.006289308,0.012578616,0.012578616,0.025157233,0.025157233,0.062893082,0,0.006289308,0.025157233,0.031446541,0.006289308,0.006289308,0.037735849,0.012578616,0.018867925,0.012578616,0,0.006289308,0,0.006289308,0.006289308,0.006289308,0.037735849,0.037735849,0.031446541,0.006289308,0.012578616,0,0,0.018867925,0,0,0.006289308,0.012578616,0.006289308,0,0.012578616,0,0.006289308,0,0.018867925,0.018867925,0.006289308,0,0.006289308,0.006289308,0.018867925,0.018867925,0.037735849,0.025157233,0.018867925,0.018867925,0,0.006289308,0,0.006289308,0.006289308,0.012578616
BATTERY: AGGRAVATED: HANDGUN,P1V,0.17232376,0.135024245,0.127191347,0.12383439,0.113390526,0.128310332,0.199925401,0.057068258,0.051846326,0.054084297,0.034688549,0.032823573,0.01305483,0.009324879,0.006340918,0.010816859,0.016784782,0.020514733,0.02387169,0.036553525,0.038791496,0.039910481,0.041775457,0.052219321,0.051473331,0.055576278,0.057814248,0.072361059,0.083923909,0.069004103,0.069377098,0.008205893,0.004848937,0.008951884,0.001118985,0.000372995,0.003356956,0.001118985,0.005594927,0,0,0,0,0.001118985,0.002237971,0.004102947,0.005221932,0.001491981,0.001118985,0.011935845,0.005221932,0.002983961,0.007459903,0.042521447,0.020141738,0.1230884,0.035807535,0.047370384,0.014919806,0.070496084,0.028720627,0.014546811,0.001864976,0.00074599,0.001864976,0.005594927,0.002237971,0.004475942,0.013427825,0.002983961,0.015292801,0.001491981,0.017903767,0.027228646,0.018276762,0.003729952,0.018649758,0.001491981,0.003729952,0.040283476,0.003729952,0.005594927,0.002237971,0.028347631,0.006340918,0.00074599,0.001491981,0.001491981,0.015665796,0.001864976,0.002237971,0.037299515,0.001118985,0.010816859,0,0.002237971,0.029839612,0.051846326,0.044386423,0.033569564,0.005967922,0.03618053,0.000372995,0.013800821,0,0.004848937,0,0.002610966
BATTERY: AGGRAVATED: OTHER DANG WEAPON,P1V,0.162222222,0.139444444,0.135555556,0.148333333,0.120555556,0.137777778,0.156111111,0.046666667,0.050555556,0.043333333,0.037777778,0.024444444,0.010555556,0.018333333,0.017222222,0.025,0.027222222,0.029444444,0.026666667,0.036666667,0.052222222,0.042777778,0.053888889,0.054444444,0.062222222,0.052777778,0.067777778,0.061111111,0.055,0.053888889,0.05,0.01,0.012777778,0.017777778,0.003333333,0.001666667,0.019444444,0.007777778,0.030555556,0.000555556,0.003333333,0.002222222,0.001666667,0.001666667,0.013888889,0.005,0.006111111,0.002777778,0.002222222,0.012222222,0.002777778,0.005555556,0.013888889,0.031666667,0.025,0.051666667,0.025,0.022777778,0.032777778,0.059444444,0.025555556,0.01,0.022222222,0.006111111,0.002222222,0.008888889,0.002222222,0.002222222,0.011111111,0.005,0.011111111,0.002222222,0.012777778,0.041111111,0.023888889,0.003888889,0.021111111,0.001666667,0.004444444,0.025555556,0.005,0.006666667,0.01,0.014444444,0.01,0.003888889,0.004444444,0.001111111,0.011666667,0.003888889,0.007777778,0.031111111,0.001111111,0.012222222,0.001666667,0.008888889,0.021111111,0.038888889,0.036111111,0.031111111,0.010555556,0.031666667,0.003333333,0.012777778,0,0.003333333,0.001666667,0.006666667
BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR,P1V,0.195470799,0.135876043,0.116805721,0.103694875,0.114421931,0.152562574,0.181168057,0.066746126,0.066746126,0.076281287,0.059594756,0.047675805,0.030989273,0.021454112,0.016686532,0.021454112,0.026221692,0.010727056,0.019070322,0.038140644,0.023837902,0.046483909,0.040524434,0.035756853,0.041716329,0.042908224,0.050059595,0.0488677,0.063170441,0.0488677,0.05601907,0.017878427,0.007151371,0.005959476,0.003575685,0.001191895,0.015494636,0.005959476,0.015494636,0,0.001191895,0,0.00238379,0.003575685,0.010727056,0.003575685,0.005959476,0.001191895,0.001191895,0.013110846,0.003575685,0.003575685,0.011918951,0.045292014,0.023837902,0.083432658,0.032181168,0.039332539,0.019070322,0.059594756,0.014302741,0.007151371,0.014302741,0.003575685,0.007151371,0.009535161,0.003575685,0.003575685,0.011918951,0.003575685,0.016686532,0.001191895,0.009535161,0.038140644,0.026221692,0.003575685,0.023837902,0,0.005959476,0.028605483,0.00476758,0.007151371,0.003575685,0.014302741,0.005959476,0.003575685,0.007151371,0.00238379,0.011918951,0.003575685,0.007151371,0.017878427,0.001191895,0.010727056,0.001191895,0.00476758,0.028605483,0.038140644,0.0488677,0.050059595,0.001191895,0.036948749,0.001191895,0.009535161,0,0.00476758,0,0.003575685
BATTERY: DOMESTIC BATTERY SIMPLE,P2,0.176450939,0.137244259,0.126764092,0.127181628,0.131524008,0.136784969,0.164050104,0.052359081,0.04651357,0.043340292,0.035365344,0.027306889,0.022129436,0.021795407,0.026388309,0.033820459,0.039582463,0.039916493,0.04263048,0.041795407,0.037661795,0.038121086,0.037703549,0.045636743,0.044175365,0.04914405,0.048183716,0.052275574,0.054237996,0.059958246,0.059958246,0.013444676,0.010229645,0.008726514,0.004843424,0.001795407,0.006889353,0.003549061,0.011440501,0.000751566,0.0034238,0.003131524,0.001586639,0.002212944,0.008392484,0.011983299,0.010521921,0.005887265,0.003340292,0.020041754,0.006889353,0.007933194,0.01223382,0.035281837,0.013736952,0.079874739,0.023841336,0.024133612,0.018580376,0.044843424,0.021461378,0.009645094,0.005720251,0.003590814,0.002713987,0.007599165,0.003048017,0.003048017,0.015699374,0.006805846,0.015365344,0.003590814,0.016367432,0.046638831,0.03131524,0.005344468,0.025344468,0.001962422,0.005469729,0.032317328,0.004175365,0.008141962,0.007139875,0.019498956,0.007515658,0.0034238,0.005093946,0.002922756,0.011524008,0.003340292,0.005219207,0.021544885,0.003006263,0.00993737,0.004175365,0.006722338,0.029352818,0.033736952,0.032776618,0.035574113,0.008643006,0.039498956,0.002129436,0.013528184,0.002546973,0.008350731,0.001795407,0.006096033
BATTERY: PRO EMP HANDS NO/MIN INJURY,P2,0.064914992,0.151468315,0.188562597,0.165378671,0.182380216,0.185471406,0.061823802,0.00927357,0.015455951,0.017001546,0.004636785,0.024729521,0.013910355,0.01236476,0.015455951,0.052550232,0.061823802,0.081916538,0.100463679,0.083462133,0.102009274,0.098918083,0.115919629,0.029366306,0.029366306,0.035548686,0.026275116,0.020092736,0.017001546,0.018547141,0.013910355,0.001545595,0.004636785,0.007727975,0.004636785,0.001545595,0.018547141,0.00927357,0.049459042,0,0.004636785,0.00309119,0,0.00309119,0.004636785,0.00927357,0.00927357,0.001545595,0,0.015455951,0.00309119,0.001545595,0.004636785,0.027820711,0.044822257,0.051004637,0.015455951,0.032457496,0.081916538,0.044822257,0.021638331,0.00618238,0.035548686,0.01236476,0.00618238,0.017001546,0,0.007727975,0.017001546,0.00309119,0.01236476,0.00618238,0.037094281,0.026275116,0.015455951,0.013910355,0.017001546,0.00309119,0.00309119,0.030911901,0.007727975,0.00618238,0.00618238,0.00309119,0.001545595,0,0.013910355,0.001545595,0.007727975,0,0.004636785,0.015455951,0,0.00618238,0,0.004636785,0.015455951,0.01236476,0.034003091,0.044822257,0.013910355,0.020092736,0,0.007727975,0,0.013910355,0.00618238,0.004636785
