Community Area Number,COMMUNITY AREA NAME,centroid_x,centroid_y,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,PERCENT OF HOUSING UNITS VACANT,NUM_CRIMES_2016
53,West Pullman,1175344.454,1825153.903,3.3,25.9,19.4,20.5,42.1,16563,15.79134138,3622
54,Riverdale,1182874.405,1818033.127,5.8,56.5,34.6,27.5,51.5,8201,24.03184944,1194
55,Hegewisch,1199718.163,1818873.475,3.3,17.1,9.6,19.2,42.9,22677,8.415328845,545
56,Garfield Ridge,1140405.968,1869256.647,2.6,8.8,11.3,19.3,38.1,26353,8.99587975,1918
57,Archer Heights,1149665.127,1872566.922,8.5,14.1,16.5,35.9,39.2,16134,9.552941176,835
58,Brighton Park,1157833.455,1876199.177,14.4,23.6,13.9,45.1,39.3,13089,13.32147937,2501
59,McKinley Park,1163984.329,1881505.368,7.2,18.7,13.4,32.9,35.6,16954,10.55844855,988
60,Bridgeport,1170897.642,1883763.908,4.5,18.9,13.7,22.2,31.3,22694,11.09898902,1582
61,New City,1167312.794,1872105.502,11.9,29,23,41.5,38.9,12765,20.47165078,4604
62,West Elsdon,1150220.774,1867731.839,11.1,15.6,16.7,37,37.7,15754,5.974962064,1051
63,Gage Park,1157991.887,1868524.764,15.8,23.4,18.2,51.5,38.8,12171,9.096192967,2238
64,Clearing,1138434.246,1862338.987,2.7,8.9,9.5,18.8,37.6,25113,6.689442363,903
65,West Lawn,1149762.364,1859820.285,5.8,14.9,9.6,33.6,39.6,16907,6.366161077,2045
66,Chicago Lawn,1158889.928,1860805.216,7.6,27.9,17.1,31.2,40.6,13231,15.75783831,5517
67,West Englewood,1166461.104,1861781.98,4.8,34.4,35.9,26.3,40.7,11317,22.38861571,6442
68,Englewood,1172131.46,1861861.478,3.8,46.6,28,28.5,42.5,11888,29.41176471,5779
69,Greater Grand Crossing,1179381.01,1856999.782,3.6,29.6,23,16.5,41,17285,18.89540504,6213
70,Ashburn,1153845.873,1850607.901,4,10.4,11.7,17.7,36.9,23482,4.663093415,2581
71,Auburn Gresham,1169337.426,1850830.72,4,27.6,28.3,18.5,41.9,15528,13.50302196,7152
72,Beverly,1164529.216,1838321.86,0.9,5.1,8,3.7,40.5,39523,4.662034112,911
73,Washington Height,1170876.014,1841023.256,1.1,16.9,20.8,13.7,42.6,19713,8.51905451,3029
74,Mount Greenwood,1154848.722,1832033.633,1,3.4,8.7,4.3,36.8,34381,5.207485761,561
75,Morgan Park,1167279.655,1830138.284,0.8,13.2,15,10.8,40.3,27149,8.606831882,1853
76,O`Hare,1106851.17,1934484.285,3.6,15.4,7.1,10.9,30.3,25828,8.23723229,1395
77,Edgewater,1166795.73,1938316.966,4.1,18.2,9.2,9.7,23.8,33385,10.2557086,2188
